Region 23 Avg IOU: 0.222731, Class: 0.455127, Obj: 0.445759, No Obj: 0.494653, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.084574, Class: 0.666529, Obj: 0.466905, No Obj: 0.492488, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.076641, Class: 0.498845, Obj: 0.533132, No Obj: 0.495019, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.199061, Class: 0.559589, Obj: 0.561926, No Obj: 0.496458, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.251026, Class: 0.521055, Obj: 0.396164, No Obj: 0.494837, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.149917, Class: 0.637458, Obj: 0.426962, No Obj: 0.493439, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.171646, Class: 0.596159, Obj: 0.358991, No Obj: 0.494208, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.039315, Class: 0.583558, Obj: 0.372460, No Obj: 0.493961, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.131684, Class: 0.472114, Obj: 0.518993, No Obj: 0.496617, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 23 Avg IOU: 0.053718, Class: 0.361419, Obj: 0.464547, No Obj: 0.496684, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.235224, Class: 0.486860, Obj: 0.469486, No Obj: 0.493663, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.358457, Class: 0.809805, Obj: 0.321131, No Obj: 0.463804, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 23 Avg IOU: 0.130877, Class: 0.268393, Obj: 0.435109, No Obj: 0.493759, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.431075, Class: 0.615521, Obj: 0.501108, No Obj: 0.465816, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 23 Avg IOU: 0.101439, Class: 0.510359, Obj: 0.560988, No Obj: 0.494964, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.241826, Class: 0.426962, Obj: 0.404252, No Obj: 0.496334, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.107245, Class: 0.339296, Obj: 0.576146, No Obj: 0.496969, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.390173, Class: 0.570702, Obj: 0.417418, No Obj: 0.468018, .5R: 0.000000, .75R: 0.000000,  count: 2
