120: 241.760727, 272.421692 avg, 0.000000 rate, 0.604259 seconds, 7680 images
121: 236.891953, 268.868713 avg, 0.000000 rate, 0.466603 seconds, 7744 images
122: 233.162247, 265.298065 avg, 0.000000 rate, 0.600049 seconds, 7808 images
123: 228.514740, 261.619720 avg, 0.000000 rate, 0.606685 seconds, 7872 images
124: 222.902374, 257.747986 avg, 0.000000 rate, 0.580077 seconds, 7936 images
125: 218.043243, 253.777512 avg, 0.000000 rate, 0.609786 seconds, 8000 images
126: 214.791855, 249.878952 avg, 0.000000 rate, 0.483442 seconds, 8064 images
127: 210.594864, 245.950546 avg, 0.000000 rate, 0.536451 seconds, 8128 images
128: 206.878067, 242.043304 avg, 0.000000 rate, 0.569662 seconds, 8192 images
129: 201.905899, 238.029572 avg, 0.000000 rate, 0.607064 seconds, 8256 images
130: 197.352859, 233.961899 avg, 0.000000 rate, 0.422563 seconds, 8320 images
131: 194.187347, 229.984436 avg, 0.000000 rate, 0.510686 seconds, 8384 images
132: 186.331512, 225.619141 avg, 0.000000 rate, 0.607666 seconds, 8448 images
133: 181.652130, 221.222443 avg, 0.000000 rate, 0.627937 seconds, 8512 images
134: 175.227295, 216.622925 avg, 0.000000 rate, 0.519644 seconds, 8576 images
135: 171.821106, 212.142746 avg, 0.000000 rate, 0.453901 seconds, 8640 images
136: 166.438904, 207.572357 avg, 0.000000 rate, 0.618877 seconds, 8704 images
137: 164.390427, 203.254166 avg, 0.000000 rate, 0.606468 seconds, 8768 images
138: 158.358185, 198.764572 avg, 0.000000 rate, 0.506107 seconds, 8832 images
139: 153.523468, 194.240463 avg, 0.000000 rate, 0.628214 seconds, 8896 images
140: 150.728973, 189.889313 avg, 0.000000 rate, 0.605222 seconds, 8960 images
141: 145.131714, 185.413559 avg, 0.000000 rate, 0.514065 seconds, 9024 images
142: 140.548355, 180.927032 avg, 0.000000 rate, 0.602469 seconds, 9088 images
143: 137.015427, 176.535873 avg, 0.000000 rate, 0.542006 seconds, 9152 images
144: 131.547333, 172.037018 avg, 0.000000 rate, 0.601308 seconds, 9216 images
145: 127.366158, 167.569931 avg, 0.000000 rate, 0.506114 seconds, 9280 images
146: 123.186806, 163.131622 avg, 0.000000 rate, 0.617820 seconds, 9344 images
147: 117.640686, 158.582535 avg, 0.000000 rate, 0.479871 seconds, 9408 images
148: 115.293732, 154.253662 avg, 0.000000 rate, 0.492347 seconds, 9472 images
149: 110.641197, 149.892410 avg, 0.000000 rate, 0.441696 seconds, 9536 images
150: 105.736832, 145.476852 avg, 0.000001 rate, 0.589632 seconds, 9600 images
151: 102.381691, 141.167343 avg, 0.000001 rate, 0.561178 seconds, 9664 images
152: 99.229485, 136.973557 avg, 0.000001 rate, 0.478963 seconds, 9728 images
153: 95.601105, 132.836304 avg, 0.000001 rate, 0.533277 seconds, 9792 images
154: 90.781471, 128.630814 avg, 0.000001 rate, 0.526871 seconds, 9856 images
155: 87.443184, 124.512054 avg, 0.000001 rate, 0.604239 seconds, 9920 images
156: 83.970703, 120.457916 avg, 0.000001 rate, 0.618279 seconds, 9984 images
157: 79.194946, 116.331619 avg, 0.000001 rate, 0.539337 seconds, 10048 images
158: 76.407196, 112.339180 avg, 0.000001 rate, 0.497352 seconds, 10112 images
159: 75.637779, 108.669037 avg, 0.000001 rate, 0.621599 seconds, 10176 images
160: 71.535400, 104.955673 avg, 0.000001 rate, 0.450016 seconds, 10240 images
161: 68.732407, 101.333344 avg, 0.000001 rate, 0.623492 seconds, 10304 images
162: 65.624878, 97.762497 avg, 0.000001 rate, 0.607453 seconds, 10368 images
163: 62.007790, 94.187027 avg, 0.000001 rate, 0.469664 seconds, 10432 images
164: 61.466366, 90.914963 avg, 0.000001 rate, 0.558833 seconds, 10496 images
165: 58.225082, 87.645973 avg, 0.000001 rate, 0.602791 seconds, 10560 images
166: 56.084137, 84.489792 avg, 0.000001 rate, 0.435742 seconds, 10624 images
167: 53.949581, 81.435768 avg, 0.000001 rate, 0.485265 seconds, 10688 images
168: 53.525642, 78.644753 avg, 0.000001 rate, 0.608714 seconds, 10752 images
169: 49.688522, 75.749130 avg, 0.000001 rate, 0.487095 seconds, 10816 images
170: 47.673904, 72.941605 avg, 0.000001 rate, 0.573608 seconds, 10880 images
171: 46.149937, 70.262436 avg, 0.000001 rate, 0.619478 seconds, 10944 images
172: 43.527737, 67.588966 avg, 0.000001 rate, 0.496702 seconds, 11008 images
173: 40.658909, 64.895958 avg, 0.000001 rate, 0.605397 seconds, 11072 images
174: 39.276039, 62.333965 avg, 0.000001 rate, 0.527622 seconds, 11136 images
175: 38.755917, 59.976162 avg, 0.000001 rate, 0.602245 seconds, 11200 images
176: 37.249573, 57.703503 avg, 0.000001 rate, 0.495054 seconds, 11264 images
177: 36.564419, 55.589596 avg, 0.000001 rate, 0.466744 seconds, 11328 images
178: 34.209595, 53.451595 avg, 0.000001 rate, 0.538509 seconds, 11392 images
179: 31.484608, 51.254898 avg, 0.000001 rate, 0.622710 seconds, 11456 images
180: 30.423761, 49.171783 avg, 0.000001 rate, 0.452987 seconds, 11520 images
181: 30.000776, 47.254684 avg, 0.000001 rate, 0.630944 seconds, 11584 images
182: 28.316051, 45.360821 avg, 0.000001 rate, 0.530992 seconds, 11648 images
183: 27.645008, 43.589241 avg, 0.000001 rate, 0.518524 seconds, 11712 images
184: 25.404524, 41.770771 avg, 0.000001 rate, 0.627820 seconds, 11776 images
185: 24.219267, 40.015621 avg, 0.000001 rate, 0.606806 seconds, 11840 images
186: 24.406015, 38.454662 avg, 0.000001 rate, 0.444835 seconds, 11904 images
